id,link,operation,address,size,dorms,toilets,garage,price,additional_costs
2620234238.0,https://www.vivareal.com.br/imovel/sala-comercial-pinheiros-sao-paulo-com-garagem-120m2-aluguel-RS7800-id-2620234238/,renting,"Rua Cardeal Arcoverde - Pinheiros, São Paulo",120 m²,,3,2,R$ 7.800/mês,Cond. R$ 2.502 • IPTU R$ 1.157
2713985521.0,https://www.vivareal.com.br/imovel/sala-comercial-pinheiros-sao-paulo-com-garagem-108m2-aluguel-RS8000-id-2713985521/,renting,"Rua Pais Leme - Pinheiros, São Paulo",108 m²,,1,2,R$ 8.000/mês,Cond. R$ 1.800 • IPTU R$ 1.200
2654112610.0,https://www.vivareal.com.br/imovel/flat-1-quartos-vila-olimpia-sao-paulo-com-garagem-45m2-aluguel-RS4110-id-2654112610/,renting,"Rua Santa Justina - Vila Olímpia, São Paulo",45 m²,1,1,1,R$ 4.110/mês,Cond. R$ 990 • IPTU R$ 100
2639822888.0,https://www.vivareal.com.br/imovel/sala-comercial-itaim-bibi-sao-paulo-com-garagem-134m2-venda-RS2190000-id-2639822888/,renting,"Rua Urussuí - Itaim Bibi, São Paulo",134 m²,,4,3,R$ 9.800/mês,Cond. R$ 2.769 • IPTU R$ 1.683
2658024130.0,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-92m2-aluguel-RS7800-id-2658024130/,renting,"Rua Gomes de Carvalho - Vila Olímpia, São Paulo",92 m²,,3,3,R$ 7.800/mês,Cond. R$ 1.600 • IPTU R$ 1.200
2568267818.0,https://www.vivareal.com.br/imovel/apartamento-4-quartos-vila-prudente-sao-paulo-com-garagem-149m2-aluguel-RS5000-id-2568267818/,renting," - Vila Prudente, São Paulo",149 m²,4,2,3,R$ 5.000/mês,Cond. R$ 1.540 • IPTU R$ 650
2645901195.0,https://www.vivareal.com.br/imovel/predio-comercial-mooca-sao-paulo-com-garagem-325m2-venda-RS1490000-id-2645901195/,renting,"Rua Doutor Almeida Lima - Mooca, São Paulo",325 m²,,4,2,R$ 8.000/mês,
2792417424.0,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-brasil-zona-sul-sao-paulo-com-garagem-110m2-aluguel-RS5997-id-2792417424/,renting,"Rua Tebas - Jardim Brasil (Zona Sul), São Paulo",110 m²,3,4,2,R$ 5.997/mês,Cond. R$ 1.320 • IPTU R$ 400
2792428050.0,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-brasil-zona-sul-sao-paulo-com-garagem-110m2-aluguel-RS5998-id-2792428050/,renting,"Rua Tebas - Jardim Brasil (Zona Sul), São Paulo",110 m²,3,4,2,R$ 5.998/mês,Cond. R$ 1.320 • IPTU R$ 400
2792438624.0,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-brasil-zona-sul-sao-paulo-com-garagem-110m2-aluguel-RS5997-id-2792438624/,renting,"Rua Tebas - Jardim Brasil (Zona Sul), São Paulo",110 m²,3,4,2,R$ 5.997/mês,Cond. R$ 1.320 • IPTU R$ 400
2788461713.0,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-50m2-venda-RS500000-id-2788461713/,renting,"Rua Helena - Vila Olímpia, São Paulo",50 m²,,1,1,R$ 2.500/mês,Cond. R$ 1.503 • IPTU R$ 304
2583425893.0,https://www.vivareal.com.br/imovel/sala-comercial-consolacao-sao-paulo-com-garagem-55m2-aluguel-RS2800-id-2583425893/,renting,"Rua Pará - Consolação, São Paulo",55 m²,,2,1,R$ 2.800/mês,Cond. R$ 1.050 • IPTU R$ 275
2778221547.0,https://www.vivareal.com.br/imovel/flat-1-quartos-jardim-paulista-sao-paulo-com-garagem-45m2-aluguel-RS2500-id-2778221547/,renting,"Alameda Jaú - Jardim Paulista, São Paulo",45 m²,1,1,1,R$ 2.500/mês,Cond. R$ 1.700 • IPTU R$ 300
2643396359.0,https://www.vivareal.com.br/imovel/predio-comercial-16-quartos-paraiso-sao-paulo-com-garagem-3323m2-venda-RS22000000-id-2643396359/,renting,"Rua Mário Amaral - Paraíso, São Paulo",3323 m²,16,20,26,R$ 65.000/mês,IPTU R$ 23.000
,,renting,"Rua Gomes de Carvalho - Vila Olímpia, São Paulo",193 m²,,4,4,R$ 13.000/mês,Cond. R$ 3.230 • IPTU R$ 2.630
2639817126.0,https://www.vivareal.com.br/imovel/sala-comercial-cidade-moncoes-sao-paulo-com-garagem-110m2-aluguel-RS8800-id-2639817126/,renting,"Rua Samuel Morse - Cidade Monções, São Paulo",110 m²,,3,3,R$ 8.800/mês,Cond. R$ 2.794 • IPTU R$ 1.201
2792401830.0,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-brasil-zona-sul-sao-paulo-com-garagem-110m2-aluguel-RS5998-id-2792401830/,renting,"Rua Tebas - Jardim Brasil (Zona Sul), São Paulo",110 m²,3,4,2,R$ 5.998/mês,Cond. R$ 1.320 • IPTU R$ 400
2620052652.0,https://www.vivareal.com.br/imovel/sala-comercial-pinheiros-sao-paulo-com-garagem-120m2-aluguel-RS10100-id-2620052652/,renting,"Rua Cláudio Soares - Pinheiros, São Paulo",120 m²,,4,3,R$ 10.100/mês,Cond. R$ 2.000 • IPTU R$ 1.000
2792459118.0,https://www.vivareal.com.br/imovel/sala-comercial-brooklin-paulista-sao-paulo-com-garagem-104m2-aluguel-RS7999-id-2792459118/,renting,"Rua Barão do Triunfo - Brooklin Paulista, São Paulo",104 m²,,1,2,R$ 7.999/mês,Cond. R$ 1.291 • IPTU R$ 1.377
2792376020.0,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-paulista-sao-paulo-com-garagem-92m2-aluguel-RS10997-id-2792376020/,renting,"Rua Sul - Brooklin Paulista, São Paulo",92 m²,3,2,2,R$ 10.997/mês,Cond. R$ 1.154 • IPTU R$ 862
2792414826.0,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-brasil-zona-sul-sao-paulo-com-garagem-110m2-aluguel-RS5998-id-2792414826/,renting,"Rua Tebas - Jardim Brasil (Zona Sul), São Paulo",110 m²,3,4,2,R$ 5.998/mês,Cond. R$ 1.320 • IPTU R$ 400
2639782356.0,https://www.vivareal.com.br/imovel/predio-comercial-santo-amaro-sao-paulo-com-garagem-908m2-venda-RS5300000-id-2639782356/,renting,"Avenida Washington Luís - Santo Amaro, São Paulo",908 m²,,8,27,R$ 35.000/mês,IPTU R$ 5.995
2651415474.0,https://www.vivareal.com.br/imovel/sala-comercial-pinheiros-sao-paulo-com-garagem-204m2-aluguel-RS15301-id-2651415474/,renting,"Rua Butantã - Pinheiros, São Paulo",204 m²,,4,5,R$ 15.301/mês,Cond. R$ 3.000 • IPTU R$ 1.401
2697948749.0,https://www.vivareal.com.br/imovel/sala-comercial-itaim-bibi-sao-paulo-com-garagem-134m2-aluguel-RS10000-id-2697948749/,renting,"Rua Urussuí - Itaim Bibi, São Paulo",134 m²,,4,3,R$ 10.000/mês,Cond. R$ 2.712 • IPTU R$ 1.463
2658591663.0,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-120m2-aluguel-RS12001-id-2658591663/,renting,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo",120 m²,,5,4,R$ 12.001/mês,Cond. R$ 1.001 • IPTU R$ 991
2792135427.0,https://www.vivareal.com.br/imovel/apartamento-1-quartos-sumarezinho-sao-paulo-com-garagem-78m2-aluguel-RS4998-id-2792135427/,renting,"Rua Paulistânia - Sumarezinho, São Paulo",78 m²,1,2,1,R$ 4.998/mês,Cond. R$ 1.210 • IPTU R$ 286
,,renting,"Rua Gomes de Carvalho - Vila Olímpia, São Paulo",193 m²,,4-5,4,R$ 11.490/mês,Cond. R$ 3.250 • IPTU R$ 1.968
2658804321.0,https://www.vivareal.com.br/imovel/sala-comercial-pinheiros-sao-paulo-com-garagem-83m2-aluguel-RS7800-id-2658804321/,renting,"Rua Cardeal Arcoverde - Pinheiros, São Paulo",83 m²,,,2,R$ 7.800/mês,Cond. R$ 1.960 • IPTU R$ 954
2689118933.0,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-leonor-sao-paulo-com-garagem-55m2-venda-RS350000-id-2689118933/,renting,"Rua Dona Vitu Giorgi - Jardim Leonor, São Paulo",55 m²,2,1,1,R$ 1.950/mês,Cond. R$ 520
,,renting,"Rua Urussuí - Itaim Bibi, São Paulo",47 m²,1,1,1,R$ 6.995/mês,Cond. R$ 1.180 • IPTU R$ 150
,,renting,"Rua Solimões - Barra Funda, São Paulo",400 m²,,8-9,2,R$ 18.500/mês,IPTU R$ 1.200
,,renting,"Rua Sansão Alves dos Santos - Cidade Monções, São Paulo",42-45 m²,1,1,1,R$ 3.600/mês,Cond. R$ 2.200 • IPTU R$ 200
2759470261.0,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cerqueira-cesar-sao-paulo-com-garagem-61m2-venda-RS1170000-id-2759470261/,renting,"Alameda Ministro Rocha Azevedo - Cerqueira César, São Paulo",61 m²,2,1,2,R$ 8.300/mês,Cond. R$ 2.230 • IPTU R$ 470
2728029442.0,https://www.vivareal.com.br/imovel/sobrado-3-quartos-cangaiba-sao-paulo-com-garagem-135m2-venda-RS530000-id-2728029442/,renting,"Rua Pedro de Brito - Cangaíba, São Paulo",135 m²,3,2,2,R$ 3.000/mês,IPTU R$ 150
