id,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs,features,type,street,neighborhood,city,state,latitude,longitude
2632001996,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-sao-domingos-zona-oeste-sao-paulo-com-garagem-68m2-venda-RS400000-id-2632001996/,"Apartamento com 2 Quartos à Venda, 68m²",selling,"Parque São Domingos, São Paulo - SP",68,2,2,1,400000,880,"Churrasqueira, Elevador, Interfone, Piscina, Área de serviço",Apartamento,Parque São Domingos,Parque São Domingos,São Paulo,SP,-22.9348324,-45.4534005
2643626530,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-sao-francisco-zona-oeste-zona-oeste-sao-paulo-com-garagem-117m2-venda-RS1440000-id-2643626530/,Apartamento com 2 Quartos para Venda/Aluguel 117m²,selling,"Vila São Francisco Zona Oeste, São Paulo - SP",117,2,3,2,1440000,1068,Condomínio fechado,Apartamento,Vila São Francisco Zona Oeste,Vila São Francisco Zona Oeste,São Paulo,SP,-23.5475,-46.63611
2736892269,https://www.vivareal.com.br/imovel/sobrado-3-quartos-pedreira-zona-sul-sao-paulo-com-garagem-84m2-venda-RS490000-id-2736892269/,"Casa com 3 Quartos à Venda, 84m²",selling,"Rua Gregório Ferreira, 85 - Pedreira, São Paulo - SP",84,3,2,3,490000,0,,Casa,Rua Gregório Ferreira,Pedreira,São Paulo,SP,-23.7077031,-46.644344
2662289467,https://www.vivareal.com.br/imovel/casa-de-condominio-2-quartos-brasilandia-zona-norte-sao-paulo-com-garagem-70m2-venda-RS419000-id-2662289467/,"Casa de condomínio com 2 Quartos à Venda, 70m²",selling,"Rua Olinto Fraga Moreira, 80 - Brasilândia, São Paulo - SP",70,2,1,2,419000,188,"Interfone, Próximo a hospitais, Garagem, Lavanderia, Área de serviço",Casa,Rua Olinto Fraga Moreira,Brasilândia,São Paulo,SP,-23.4649661,-46.6913891
2728105440,https://www.vivareal.com.br/imovel/casa-1-quartos-vila-esperanca-zona-leste-sao-paulo-com-garagem-139m2-venda-RS440000-id-2728105440/,"Casa com Quarto à Venda, 139m²",selling,"Rua Vinte e Seis de Abril - Vila Esperança, São Paulo - SP",139,1,2,2,440000,0,"Cozinha, TV a cabo, Área de serviço, Aceita animais",Casa,Rua Vinte e Seis de Abril,Vila Esperança,São Paulo,SP,-23.5293046,-46.5166401
2644534103,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-formosa-zona-leste-sao-paulo-com-garagem-74m2-venda-RS825000-id-2644534103/,"Apartamento com 3 Quartos à Venda, 74m²",selling,"Rua Cristóvão Girão - Vila Formosa, São Paulo - SP",74,3,2,2,825000,730,,Apartamento,Rua Cristóvão Girão,Vila Formosa,São Paulo,SP,-23.5668764,-46.5463233
2738684105,https://www.vivareal.com.br/imovel/sobrado-3-quartos-vila-ede-zona-norte-sao-paulo-com-garagem-120m2-venda-RS690000-id-2738684105/,"Casa com 3 Quartos à Venda, 120m²",selling,"Rua Zalina Rolim - Vila Ede, São Paulo - SP",120,3,2,3,690000,0,"Churrasqueira, Área de serviço",Casa,Rua Zalina Rolim,Vila Ede,São Paulo,SP,-23.4936595,-46.5933904
2535274007,https://www.vivareal.com.br/imovel/cobertura-2-quartos-bela-vista-centro-sao-paulo-com-garagem-84m2-venda-RS1350000-id-2535274007/,"Cobertura com 2 Quartos à Venda, 84m²",selling,"Rua Doutor Alfredo Ellis - Bela Vista, São Paulo - SP",84,2,3,2,1350000,1400,,Apartamento,Rua Doutor Alfredo Ellis,Bela Vista,São Paulo,SP,-23.5601219,-46.6500338
2541903048,https://www.vivareal.com.br/imovel/casa-3-quartos-saude-zona-sul-sao-paulo-com-garagem-105m2-venda-RS750000-id-2541903048/,"Casa com 3 Quartos à Venda, 105m²",selling,"Alameda dos Guatás - Saúde, São Paulo - SP",105,3,2,1,750000,0,Garagem,Casa,Alameda dos Guatás,Saúde,São Paulo,SP,-23.615178,-46.6433933
2729335730,https://www.vivareal.com.br/imovel/casa-3-quartos-lapa-zona-oeste-sao-paulo-com-garagem-400m2-venda-RS1600000-id-2729335730/,"Casa com 3 Quartos à Venda, 400m²",selling,"Rua Brigadeiro Gavião Peixoto - Lapa, São Paulo - SP",400,3,4,4,1600000,0,,Casa,Rua Brigadeiro Gavião Peixoto,Lapa,São Paulo,SP,-23.5215756,-46.7043491
2665286557,https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-tremembe-zona-norte-sao-paulo-com-garagem-126m2-venda-RS532000-id-2665286557/,"Casa de condomínio com 3 Quartos à Venda, 126m²",selling,"Avenida Senador José Ermírio de Moraes - Tremembé, São Paulo - SP",126,3,2,1,532000,294,"Salão de jogos, Elevador, Playground, Salão de festas",Casa,Avenida Senador José Ermírio de Moraes,Tremembé,São Paulo,SP,-23.4482881,-46.6029761
2699270712,https://www.vivareal.com.br/imovel/cobertura-4-quartos-paraiso-zona-sul-sao-paulo-com-garagem-277m2-venda-RS2760000-id-2699270712/,"Cobertura com 4 Quartos à Venda, 277m²",selling,"Rua Artur Sabóia - Paraíso, São Paulo - SP",277,4,4,5,2760000,2100,"Cozinha, Armário embutido, Churrasqueira, Quintal",Apartamento,Rua Artur Sabóia,Paraíso,São Paulo,SP,-23.5753859,-46.6409603
2711062610,https://www.vivareal.com.br/imovel/casa-de-condominio-2-quartos-santana-zona-norte-sao-paulo-com-garagem-55m2-venda-RS550000-id-2711062610/,"Casa de condomínio com 2 Quartos à Venda, 55m²",selling,"Rua Dona Elfrida - Santana, São Paulo - SP",55,2,1,1,550000,380,,Casa,Rua Dona Elfrida,Santana,São Paulo,SP,-23.499321,-46.6289326
2738230915,https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-vila-isolina-mazzei-zona-norte-sao-paulo-com-garagem-90m2-venda-RS630000-id-2738230915/,"Casa de condomínio com 3 Quartos à Venda, 90m²",selling,"Rua Henrique Mazzei - Vila Isolina Mazzei, São Paulo - SP",90,3,2,2,630000,200,"Condomínio fechado, Depósito",Casa,Rua Henrique Mazzei,Vila Isolina Mazzei,São Paulo,SP,-23.4930386,-46.6038231
2733367842,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-santa-cruz-zona-sul-zona-sul-sao-paulo-com-garagem-75m2-venda-RS400000-id-2733367842/,"Apartamento com 3 Quartos à Venda, 75m²",selling,"Avenida Professor Sylla Mattos - Jardim Santa Cruz Zona Sul, São Paulo - SP",75,3,2,1,400000,880,"Área de lazer, Armário na cozinha, Garagem, Salão de festas, Varanda",Apartamento,Avenida Professor Sylla Mattos,Jardim Santa Cruz Zona Sul,São Paulo,SP,-23.5475,-46.63611
2575476657,https://www.vivareal.com.br/imovel/apartamento-3-quartos-sao-miguel-paulista-zona-leste-sao-paulo-com-garagem-82m2-venda-RS359000-id-2575476657/,"Apartamento com 3 Quartos à Venda, 82m²",selling,"Rua Osório Franco Vilhena - São Miguel Paulista, São Paulo - SP",82,3,2,1,359000,0,"Churrasqueira, Piscina para adulto, Playground, Quadra poliesportiva, Salão de festas",Apartamento,Rua Osório Franco Vilhena,São Miguel Paulista,São Paulo,SP,-23.5026845,-46.4383287
2644800256,https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-da-lapa-zona-oeste-sao-paulo-com-garagem-78m2-venda-RS850000-id-2644800256/,"Apartamento com 2 Quartos à Venda, 78m²",selling,"Rua Filipinas - Alto da Lapa, São Paulo - SP",78,2,3,2,850000,0,"Piscina, Academia, Salão de festas, Sauna",Apartamento,Rua Filipinas,Alto da Lapa,São Paulo,SP,-23.5273913,-46.7130594
