id,page_id,scrapping_date,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs,features,type,street,neighborhood,city,state,latitude,longitude
148,2726404430,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-castelo-zona-sul-sao-paulo-com-garagem-62m2-aluguel-RS1773-id-2726404430/,"Apartamento com 2 Quartos para Aluguel, 62m²",renting,"Rua David Eid, 731 - Vila Castelo, São Paulo - SP",62,2,1,1,1773,627,"Quadra poliesportiva, Salão de festas, Espaço verde / Parque",Apartamento,Rua David Eid,Vila Castelo,São Paulo,SP,-23.0882,-47.1953464
149,2722513837,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-3-quartos-campo-belo-zona-sul-sao-paulo-com-garagem-120m2-aluguel-RS4600-id-2722513837/,"Apartamento com 3 Quartos para Aluguel, 120m²",renting,"Campo Belo, São Paulo - SP",120,3,3,1,4600,1500,Cozinha,Apartamento,Campo Belo,Campo Belo,São Paulo,SP,-23.6299339,-46.670417
150,2736101633,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-barra-funda-zona-oeste-sao-paulo-com-garagem-54m2-aluguel-RS3500-id-2736101633/,"Apartamento com 2 Quartos para Aluguel, 54m²",renting,"Rua Tagipuru - Barra Funda, São Paulo - SP",54,2,1,1,3500,685,"Condomínio fechado, Piscina",Apartamento,Rua Tagipuru,Barra Funda,São Paulo,SP,-23.5254616,-46.6675134
151,2621954465,27-09-2024,https://www.vivareal.com.br/imovel/casa-4-quartos-vila-madalena-zona-oeste-sao-paulo-com-garagem-807m2-venda-RS7500000-id-2621954465/,Casa com 4 Quartos para Venda/Aluguel 807m²,renting,"Vila Madalena, São Paulo - SP",807,4,4,6,34000,0,,Casa,Vila Madalena,Vila Madalena,São Paulo,SP,-23.5464956,-46.6911243
152,2744395194,27-09-2024,https://www.vivareal.com.br/imovel/casa-3-quartos-moema-zona-sul-sao-paulo-com-garagem-200m2-aluguel-RS10000-id-2744395194/,"Casa com 3 Quartos para Aluguel, 200m²",renting,"Moema, São Paulo - SP",200,3,4,2,10000,0,,Casa,Moema,Moema,São Paulo,SP,-23.597085,-46.6628884
153,2583416739,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-deodoro-zona-sul-sao-paulo-com-garagem-56m2-venda-RS532000-id-2583416739/,Apartamento com 2 Quartos para Venda/Aluguel 56m²,renting,"Rua Mesquita, 81 - Vila Deodoro, São Paulo - SP",56,2,2,1,2500,721,,Apartamento,Rua Mesquita,Vila Deodoro,São Paulo,SP,-23.487671,-47.4594455
154,2682843709,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-1-quartos-santa-cecilia-centro-sao-paulo-com-garagem-55m2-aluguel-RS2400-id-2682843709/,"Apartamento com Quarto para Aluguel, 55m²",renting,"Rua São Vicente de Paulo, 34 - Santa Cecília, São Paulo - SP",55,1,1,1,2400,988,,Apartamento,Rua São Vicente de Paulo,Santa Cecília,São Paulo,SP,-23.5296595,-46.6518939
155,2706923702,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-antonieta-zona-leste-sao-paulo-com-garagem-57m2-aluguel-RS2300-id-2706923702/,"Apartamento com 2 Quartos para Aluguel, 57m²",renting,"Rua Engenheiro Guilherme Cristiano Frender, 1141 - Vila Antonieta, São Paulo - SP",57,2,1,1,2300,0,"Condomínio fechado, Cozinha",Apartamento,Rua Engenheiro Guilherme Cristiano Frender,Vila Antonieta,São Paulo,SP,-23.5681946,-46.5130806
156,2743244119,27-09-2024,https://www.vivareal.com.br/imovel/casa-2-quartos-jardim-japao-zona-norte-sao-paulo-com-garagem-35m2-aluguel-RS2000-id-2743244119/,"Casa com 2 Quartos para Aluguel, 35m²",renting,"Avenida Conceição, 5000 - Jardim Japão, São Paulo - SP",35,2,1,4,2000,0,Aceita animais,Casa,Avenida Conceição,Jardim Japão,São Paulo,SP,-23.5021791,-46.5808888
157,2682424274,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cambuci-zona-sul-sao-paulo-com-garagem-70m2-aluguel-RS2400-id-2682424274/,"Apartamento com 3 Quartos para Aluguel, 70m²",renting,"Cambuci, São Paulo - SP",70,3,2,2,2400,1180,Condomínio fechado,Apartamento,Cambuci,Cambuci,São Paulo,SP,-23.5659114,-46.6136795
158,2732174222,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-3-quartos-planalto-paulista-zona-sul-sao-paulo-com-garagem-90m2-aluguel-RS3600-id-2732174222/,"Apartamento com 3 Quartos para Aluguel, 90m²",renting,"Avenida Moaci - Planalto Paulista, São Paulo - SP",90,3,2,1,3600,1665,Interfone,Apartamento,Avenida Moaci,Planalto Paulista,São Paulo,SP,-23.4689704,-46.5701719
159,2742914176,27-09-2024,https://www.vivareal.com.br/imovel/casa-1-quartos-vila-independencia-zona-sul-sao-paulo-com-garagem-90m2-aluguel-RS1700-id-2742914176/,"Casa com Quarto para Aluguel, 90m²",renting,"Rua Itamaraju - Vila Independência, São Paulo - SP",90,1,1,6,1700,0,"Garagem, Cozinha",Casa,Rua Itamaraju,Vila Independência,São Paulo,SP,-22.7200908,-47.6292609
160,2728635754,27-09-2024,https://www.vivareal.com.br/imovel/casa-3-quartos-pinheiros-zona-oeste-sao-paulo-com-garagem-100m2-aluguel-RS3500-id-2728635754/,"Casa com 3 Quartos para Aluguel, 100m²",renting,"Avenida Marechal Fiuza de Castro, 852 - Pinheiros, São Paulo - SP",100,3,2,1,3500,0,"Acesso para deficientes, Conexão à internet, Ambientes integrados, Área de serviço, Aceita animais",Casa,Avenida Marechal Fiuza de Castro,Pinheiros,São Paulo,SP,-23.5672842,-46.701939
161,2676596909,27-09-2024,https://www.vivareal.com.br/imovel/casa-6-quartos-vila-madalena-zona-oeste-sao-paulo-com-garagem-815m2-aluguel-RS26000-id-2676596909/,"Casa com 6 Quartos para Aluguel, 815m²",renting,"Rua Irmão Gonçalo - Vila Madalena, São Paulo - SP",815,6,6,8,26000,0,"Churrasqueira, Interfone, Piscina, Quintal",Casa,Rua Irmão Gonçalo,Vila Madalena,São Paulo,SP,-23.5464956,-46.6911243
162,2742658061,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-prudente-zona-leste-sao-paulo-com-garagem-80m2-aluguel-RS2500-id-2742658061/,"Apartamento com 2 Quartos para Aluguel, 80m²",renting,"Rua José Zappi, 1070 - Vila Prudente, São Paulo - SP",80,2,2,1,2500,0,"Portão eletrônico, Aceita animais",Apartamento,Rua José Zappi,Vila Prudente,São Paulo,SP,-23.584427,-46.581938
163,2732161124,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-santa-cruz-zona-sul-zona-sul-sao-paulo-com-garagem-73m2-aluguel-RS2200-id-2732161124/,"Apartamento com 3 Quartos para Aluguel, 73m²",renting,"Avenida General Leite de Castro - Jardim Santa Cruz Zona Sul, São Paulo - SP",73,3,2,1,2200,808,,Apartamento,Avenida General Leite de Castro,Jardim Santa Cruz Zona Sul,São Paulo,SP,-23.5475,-46.63611
164,2739316622,27-09-2024,https://www.vivareal.com.br/imovel/casa-2-quartos-jardim-santa-cruz-zona-sul-zona-sul-sao-paulo-com-garagem-90m2-aluguel-RS2600-id-2739316622/,"Casa com 2 Quartos para Aluguel, 90m²",renting,"Jardim Santa Cruz Zona Sul, São Paulo - SP",90,2,2,2,2600,0,"Mais de um andar, Varanda, Quintal",Casa,Jardim Santa Cruz Zona Sul,Jardim Santa Cruz Zona Sul,São Paulo,SP,-23.5475,-46.63611
165,2738654382,27-09-2024,https://www.vivareal.com.br/imovel/sobrado-2-quartos-vila-tiradentes-zona-oeste-sao-paulo-com-garagem-110m2-aluguel-RS2670-id-2738654382/,"Casa com 2 Quartos para Aluguel, 110m²",renting,"Rua José de Martini, 10 - Vila Tiradentes, São Paulo - SP",110,2,1,2,2670,0,,Casa,Rua José de Martini,Vila Tiradentes,São Paulo,SP,-23.587506,-46.3812835
