id,link,operation,size,dorms,toilets,garage,price,additional_costs,scraping_date,type,street,neighborhood,city,latitude,longitude
0,0,renting,1083,0,10,19,25100,4896,2025-04-01,Prédio/Edificio inteiro,Rua Correia de Lemos,Chácara Inglesa,São Paulo,-23.6082346,-46.6328773
2792071445,https://www.vivareal.com.br/imovel/galpao-deposito-armazem-rio-pequeno-sao-paulo-260m2-aluguel-RS7000-id-2792071445/,renting,260,0,2,0,7000,0,2025-04-01,Galpão/Depósito/Armazém,Rua Luca Carlevaris,Rio Pequeno,São Paulo,-23.5691132,-46.7575282
2792264945,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jaguare-sao-paulo-com-garagem-95m2-aluguel-RS2700-id-2792264945/,renting,95,3,3,2,2700,1200,2025-04-01,Apartamento,Rua Caetanópolis,Jaguaré,São Paulo,-23.5479994,-46.7528612
2792253841,https://www.vivareal.com.br/imovel/apartamento-2-quartos-liberdade-sao-paulo-80m2-aluguel-RS3400-id-2792253841/,renting,80,2,1,0,3400,893,2025-04-01,Apartamento,Rua Maestro Cardim,Liberdade,São Paulo,-23.570472,-46.642057
2791759827,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-carrao-sao-paulo-com-garagem-62m2-aluguel-RS2000-id-2791759827/,renting,62,2,2,2,2000,983,2025-04-01,Apartamento,Rua Renato Rinaldi,Vila Carrão,São Paulo,-23.5550185,-46.5310255
2792247838,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-dom-pedro-i-sao-paulo-com-garagem-40m2-aluguel-RS1600-id-2792247838/,renting,40,1,1,1,1600,300,2025-04-01,Apartamento,Rua Gama Lobo,Vila Dom Pedro I,São Paulo,-23.6035028,-46.6115247
0,0,renting,90,1,2,2,7200,9615,2025-04-01,Apartamento,Avenida Engenheiro Luiz Carlos Berrini,Cidade Monções,São Paulo,-20.852156,-50.091497
2792105939,https://www.vivareal.com.br/imovel/apartamento-1-quartos-mirandopolis-sao-paulo-45m2-aluguel-RS1700-id-2792105939/,renting,45,1,1,0,1700,800,2025-04-01,Apartamento,Rua das Camélias,Mirandópolis,São Paulo,-21.226088,-50.860802
2792317839,https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-vila-mazzei-sao-paulo-com-garagem-165m2-aluguel-RS3750-id-2792317839/,renting,165,3,4,2,3750,433,2025-04-01,Casa de condomínio,Rua Comprida,Vila Mazzei,São Paulo,-23.4704165,-46.6022501
0,0,renting,528,0,8,3,29000,407,2025-04-01,Prédio/Edificio inteiro,Rua Senador César Lacerda Vergueiro,Sumarezinho,São Paulo,-23.5470166,-46.6928675
0,0,renting,8813,0,0,25,220425,17273,2025-04-01,Prédio/Edificio inteiro,Avenida Guapira,Tucuruvi,São Paulo,-23.4779665,-46.5978978
2791995219,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-joao-jaragua-sao-paulo-com-garagem-50m2-aluguel-RS1450-id-2791995219/,renting,50,2,1,1,1450,401,2025-04-01,Apartamento,Rua Friedrich Von Voith,Jardim São João (Jaraguá),São Paulo,-23.434381,-46.743395
2792126614,https://www.vivareal.com.br/imovel/apartamento-1-quartos-chacara-seis-de-outubro-sao-paulo-34m2-aluguel-RS1400-id-2792126614/,renting,34,1,1,0,1400,155,2025-04-01,Apartamento,Avenida Marcondes de Brito,Chácara Seis de Outubro,São Paulo,-23.537175,-46.528641
2792319229,https://www.vivareal.com.br/imovel/casa-1-quartos-vila-gustavo-sao-paulo-com-garagem-50m2-aluguel-RS1600-id-2792319229/,renting,50,1,1,1,1600,50,2025-04-01,Casa,Rua Elvira,Vila Gustavo,São Paulo,-23.4880704,-46.5964984
2792355016,https://www.vivareal.com.br/imovel/apartamento-1-quartos-pinheiros-sao-paulo-30m2-aluguel-RS1690-id-2792355016/,renting,30,1,1,0,1690,514,2025-04-01,Apartamento,Rua Deputado Lacerda Franco,Pinheiros,São Paulo,-23.5630312,-46.6906662
2791870116,https://www.vivareal.com.br/imovel/sala-comercial-planalto-paulista-sao-paulo-com-garagem-36m2-aluguel-RS1450-id-2791870116/,renting,36,0,2,1,1450,680,2025-04-01,Sala/Conjunto,Avenida Itacira,Planalto Paulista,São Paulo,-23.617302,-46.64748
2791802919,https://www.vivareal.com.br/imovel/sobrado-4-quartos-vila-constanca-sao-paulo-com-garagem-150m2-aluguel-RS3000-id-2791802919/,renting,150,4,2,3,3000,0,2025-04-01,Casa,0,Vila Constança,São Paulo,-23.521796,-46.696664
2792019455,https://www.vivareal.com.br/imovel/casa-2-quartos-jardim-japao-sao-paulo-40m2-aluguel-RS1400-id-2792019455/,renting,40,2,1,0,1400,67,2025-04-01,Casa,Avenida Conceição,Jardim Japão,São Paulo,-23.4989672,-46.5893287
2778673222,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-gustavo-sao-paulo-com-garagem-68m2-venda-RS550000-id-2778673222/,renting,68,3,2,2,2800,1096,2025-04-01,Apartamento,Rua Dragões da Independência,Vila Gustavo,São Paulo,-23.478572,-46.5955
2791913521,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-acacias-sao-paulo-com-garagem-92m2-aluguel-RS10000-id-2791913521/,renting,92,2,3,2,10000,950,2025-04-01,Apartamento,Rua Joaquim Guarani,Jardim das Acácias,São Paulo,-22.118815,-46.683995
0,0,renting,1240,0,8,8,90100,0,2025-04-01,Imóvel comercial,Rua Artur de Azevedo,Cerqueira César,São Paulo,-23.5575179,-46.6731436
2791845820,https://www.vivareal.com.br/imovel/apartamento-3-quartos-belenzinho-sao-paulo-com-garagem-87m2-aluguel-RS4200-id-2791845820/,renting,87,3,3,2,4200,1210,2025-04-01,Apartamento,Rua Júlio de Castilhos,Belenzinho,São Paulo,-23.539935,-46.589909
