id,link,operation,size,dorms,toilets,garage,price,additional_costs,type,street,neighborhood,city,latitude,longitude
2791812517,https://www.vivareal.com.br/imovel/apartamento-2-quartos-quarta-parada-sao-paulo-com-garagem-66m2-aluguel-RS2950-id-2791812517/,renting,66,2,1,1,2950,1095,Apartamento,Rua João Soares,Quarta Parada,São Paulo,0.0,0.0
2792319229,https://www.vivareal.com.br/imovel/casa-1-quartos-vila-gustavo-sao-paulo-com-garagem-50m2-aluguel-RS1600-id-2792319229/,renting,50,1,1,1,1600,50,Casa,Rua Elvira,Vila Gustavo,São Paulo,0.0,0.0
2792352534,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cambuci-sao-paulo-41m2-aluguel-RS1900-id-2792352534/,renting,41,2,1,0,1900,389,Apartamento,Rua José Bento,Cambuci,São Paulo,0.0,0.0
2792257720,https://www.vivareal.com.br/imovel/apartamento-3-quartos-indianopolis-sao-paulo-com-garagem-125m2-aluguel-RS4809-id-2792257720/,renting,125,3,3,1,4809,1990,Apartamento,0,Indianópolis,São Paulo,0.0,0.0
2775804324,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-163m2-aluguel-RS21190-id-2775804324/,renting,163,0,4,4,21190,5610,Sala/Conjunto,Avenida Doutor Cardoso de Melo,Vila Olímpia,São Paulo,0.0,0.0
2750171641,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-78m2-venda-RS966680-id-2750171641/,renting,78,0,2,2,5200,1955,Sala/Conjunto,Avenida Doutor Cardoso de Melo,Vila Olímpia,São Paulo,0.0,0.0
2792069072,https://www.vivareal.com.br/imovel/casa-11-quartos-conjunto-residencial-butanta-sao-paulo-com-garagem-260m2-aluguel-RS4500-id-2792069072/,renting,260,11,4,4,4500,0,Casa,Rua Augusto Perroni,Conjunto Residencial Butantã,São Paulo,0.0,0.0
2657622367,https://www.vivareal.com.br/imovel/predio-comercial-bela-vista-sao-paulo-com-garagem-50m2-venda-RS420000-id-2657622367/,renting,50,0,0,1,2200,903,Prédio/Edificio inteiro,Rua Cincinato Braga,Bela Vista,São Paulo,0.0,0.0
2792143820,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-siqueira-zona-norte-sao-paulo-com-garagem-40m2-venda-RS360000-id-2792143820/,renting,40,2,1,1,2120,450,Apartamento,Avenida Sebastião Henriques,Vila Siqueira (Zona Norte),São Paulo,0.0,0.0
2792101719,https://www.vivareal.com.br/imovel/sala-comercial-bras-sao-paulo-35m2-aluguel-RS1500-id-2792101719/,renting,35,0,1,0,1500,0,Sala/Conjunto,Rua Correia de Andrade,Brás,São Paulo,0.0,0.0
2792234718,https://www.vivareal.com.br/imovel/casa-1-quartos-vila-babilonia-sao-paulo-50m2-aluguel-RS900-id-2792234718/,renting,50,1,1,0,900,0,Casa,Rua Ipaobi,Vila Babilônia,São Paulo,0.0,0.0
2759746418,https://www.vivareal.com.br/imovel/consultorio-vila-olimpia-sao-paulo-com-garagem-74m2-venda-RS960000-id-2759746418/,renting,74,0,3,2,5000,1961,Sala/Conjunto,Avenida Doutor Cardoso de Melo,Vila Olímpia,São Paulo,0.0,0.0
2791855717,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jaguare-sao-paulo-com-garagem-65m2-aluguel-RS3000-id-2791855717/,renting,65,2,2,1,3000,595,Apartamento,Avenida Miguel Frias e Vasconcelos,Jaguaré,São Paulo,0.0,0.0
2791444346,https://www.vivareal.com.br/imovel/apartamento-3-quartos-usina-piratininga-sao-paulo-com-garagem-73m2-aluguel-RS3700-id-2791444346/,renting,73,3,2,1,3700,653,Apartamento,Avenida Miguel Yunes,Usina Piratininga,São Paulo,0.0,0.0
2792159820,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campos-eliseos-sao-paulo-com-garagem-41m2-aluguel-RS1800-id-2792159820/,renting,41,1,1,1,1800,1355,Apartamento,Alameda Barão de Limeira,Campos Elíseos,São Paulo,0.0,0.0
2791295613,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-sao-paulo-com-garagem-37m2-aluguel-RS3300-id-2791295613/,renting,37,1,1,1,3300,633,Apartamento,Rua Gabriele D'Annunzio,Campo Belo,São Paulo,0.0,0.0
0,0,renting,106,0,2,4,11000,4637,Sala/Conjunto,Rua Funchal,Vila Olímpia,São Paulo,0.0,0.0
2788362661,https://www.vivareal.com.br/imovel/sala-comercial-jardim-paulista-sao-paulo-com-garagem-32m2-aluguel-RS1350-id-2788362661/,renting,32,0,2,1,1350,1420,Sala/Conjunto,Alameda Joaquim Eugênio de Lima,Jardim Paulista,São Paulo,0.0,0.0
2791847748,https://www.vivareal.com.br/imovel/apartamento-2-quartos-perdizes-sao-paulo-com-garagem-85m2-aluguel-RS8500-id-2791847748/,renting,85,2,3,2,8500,1237,Apartamento,Rua Minerva,Perdizes,São Paulo,0.0,0.0
0,0,renting,98,1,2,2,14200,2050,Apartamento,Rua Marcos Lopes,Vila Nova Conceição,São Paulo,0.0,0.0
2790732550,https://www.vivareal.com.br/imovel/sobrado-3-quartos-jardim-olympia-sao-paulo-com-garagem-185m2-aluguel-RS4000-id-2790732550/,renting,185,3,1,2,4000,800,Casa,Rua Nelson Frank,Jardim Olympia,São Paulo,0.0,0.0
2762936729,https://www.vivareal.com.br/imovel/sala-comercial-santo-amaro-sao-paulo-60m2-aluguel-RS2000-id-2762936729/,renting,60,0,1,0,2000,410,Sala/Conjunto,Rua Manuel Borba,Santo Amaro,São Paulo,0.0,0.0
0,0,renting,46,1,1,2,5900,1100,Flat,Rua Sansão Alves dos Santos,Cidade Monções,São Paulo,0.0,0.0
