id,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs
2491097535,https://www.vivareal.com.br/imovel/sala-comercial-8-quartos-vila-olimpia-sao-paulo-com-garagem-210m2-aluguel-RS19999-id-2491097535/,Sala/Conjunto para alugar ,renting,"Rua Gomes de Carvalho - Vila Olímpia, São Paulo",210 m²,8,4,8,R$ 19.999/mês,Cond. R$ 4.659 • IPTU R$ 2.990
2777587321,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-162m2-aluguel-RS21060-id-2777587321/,Sala/Conjunto para alugar ,renting,"Rua Gomes de Carvalho - Vila Olímpia, São Paulo",162 m²,,4,4,R$ 21.060/mês,Cond. R$ 3.473 • IPTU R$ 1.510
2791679060,https://www.vivareal.com.br/imovel/apartamento-1-quartos-parque-mandaqui-sao-paulo-com-garagem-51m2-aluguel-RS2000-id-2791679060/,Apartamento para alugar ,renting,"Rua Judith Zumkeller - Parque Mandaqui, São Paulo",51 m²,1,1,1,R$ 2.000/mês,Cond. R$ 796 • IPTU R$ 8
2791819921,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-acacias-sao-paulo-com-garagem-54m2-aluguel-RS3000-id-2791819921/,Apartamento para alugar ,renting,"Rua Joaquim Guarani - Jardim das Acácias, São Paulo",54 m²,2,1,1,R$ 3.000/mês,Cond. R$ 1.000 • IPTU R$ 169
2791710569,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esmeralda-sao-paulo-com-garagem-65m2-aluguel-RS3300-id-2791710569/,Apartamento para alugar ,renting,"Avenida Engenheiro Heitor Antônio Eiras Garcia - Jardim Esmeralda, São Paulo",65 m²,2,1,1,R$ 3.300/mês,Cond. R$ 601 • IPTU R$ 219
2630292277,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-sao-paulo-com-garagem-48m2-aluguel-RS3500-id-2630292277/,Apartamento para alugar ,renting,"Rua Major Quedinho - Centro, São Paulo",48 m²,1,2,1,R$ 3.500/mês,Cond. R$ 765 • IPTU R$ 229
2791553020,https://www.vivareal.com.br/imovel/apartamento-1-quartos-chacara-gaivotas-sao-paulo-22m2-aluguel-RS3500-id-2791553020/,Apartamento para alugar ,renting,"Rua São Benedito - Chácara Gaivotas, São Paulo",22 m²,1,1,,R$ 3.500/mês,Cond. R$ 400 • IPTU R$ 75
2791835142,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791835142/,Apartamento para alugar ,renting,"Rua Benedito Branco de Abreu - Jardim das Vertentes, São Paulo",22 m²,1,1,,R$ 2.100/mês,Cond. R$ 250
,,Flat para alugar ,renting,"Rua Espírito Santo - Aclimação, São Paulo",35 m²,1,1,1,R$ 3.258/mês,Cond. R$ 650 • IPTU R$ 92
2791613225,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-sao-paulo-com-garagem-42m2-aluguel-RS2827-id-2791613225/,Apartamento para alugar ,renting,"Rua Vieira de Morais - Campo Belo, São Paulo",42 m²,1,1,1,R$ 2.827/mês,Cond. R$ 1.193 • IPTU R$ 180
2791839413,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791839413/,Apartamento para alugar ,renting,"Rua Benedito Branco de Abreu - Jardim das Vertentes, São Paulo",22 m²,1,1,,R$ 2.100/mês,Cond. R$ 250
2777563716,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-162m2-aluguel-RS21060-id-2777563716/,Sala/Conjunto para alugar ,renting,"Rua Gomes de Carvalho - Vila Olímpia, São Paulo",162 m²,,4,4,R$ 21.060/mês,Cond. R$ 3.473 • IPTU R$ 1.510
2791911313,https://www.vivareal.com.br/imovel/apartamento-1-quartos-pinheiros-sao-paulo-25m2-aluguel-RS3100-id-2791911313/,Apartamento para alugar ,renting,"Rua Alves Guimarães - Pinheiros, São Paulo",25 m²,1,1,,R$ 3.100/mês,Cond. R$ 560 • IPTU R$ 65
,,Sala/Conjunto para alugar ,renting,"Rua Cubatão - Vila Mariana, São Paulo",40 m²,,1,1,R$ 3.200/mês,Cond. R$ 855 • IPTU R$ 618
,,Apartamento para alugar ,renting,"Rua Engenheiro Jorge Oliva - Vila Mascote, São Paulo",112 m²,4,3-4,3,R$ 4.500/mês,Cond. R$ 1.885 • IPTU R$ 558
2791834953,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791834953/,Apartamento para alugar ,renting,"Rua Benedito Branco de Abreu - Jardim das Vertentes, São Paulo",22 m²,1,1,,R$ 2.100/mês,Cond. R$ 250
2791426624,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-sao-paulo-zona-norte-sao-paulo-29m2-aluguel-RS1350-id-2791426624/,Apartamento para alugar ,renting,"Rua Conceição da Barra - Jardim São Paulo(Zona Norte), São Paulo",29 m²,1,1,,R$ 1.350/mês,Cond. R$ 230 • IPTU R$ 120
,,Flat para alugar ,renting,"Avenida Santo Amaro - Brooklin Paulista, São Paulo",34 m²,1,1,1,R$ 4.250/mês,Cond. R$ 670 • IPTU R$ 80
2791810047,https://www.vivareal.com.br/imovel/apartamento-1-quartos-parque-peruche-sao-paulo-26m2-aluguel-RS1100-id-2791810047/,Apartamento para alugar ,renting,"Rua Doutor Ignácio Proença de Gouveia - Parque Peruche, São Paulo",26 m²,1,1,,R$ 1.100/mês,Cond. R$ 70 • IPTU R$ 23
